sex,marital_status,age,education,income,occupation,settlement_size,cluster_labels
male,single,67,university,124670,skilled,big_city,2
female,non_single,22,high_school,150773,skilled,big_city,1
male,single,49,high_school,89210,unemployed,small_city,0
male,single,45,high_school,171565,skilled,mid_size_city,1
male,single,53,high_school,149031,skilled,mid_size_city,1
male,single,35,high_school,144848,unemployed,small_city,0
male,single,53,high_school,156495,skilled,mid_size_city,1
male,single,35,high_school,193621,management,mid_size_city,3
male,non_single,61,university,151591,unemployed,small_city,2
male,non_single,28,high_school,174646,management,small_city,1
female,non_single,25,high_school,108469,skilled,small_city,0
female,non_single,24,high_school,127596,skilled,small_city,0
female,non_single,22,high_school,108687,skilled,big_city,1
male,single,60,university,89374,unemployed,small_city,2
female,non_single,28,high_school,102899,skilled,mid_size_city,0
female,non_single,32,high_school,88428,unemployed,small_city,0
male,single,53,high_school,125550,skilled,small_city,1
male,single,25,unknown,157434,skilled,big_city,1
female,non_single,44,university,261952,management,big_city,3
male,single,31,unknown,144657,skilled,mid_size_city,1
male,single,48,high_school,118777,skilled,mid_size_city,1
male,single,44,high_school,147511,skilled,mid_size_city,1
male,single,48,high_school,89804,unemployed,small_city,0
male,single,44,high_school,134918,skilled,big_city,1
male,non_single,26,high_school,103667,skilled,big_city,1
male,single,36,high_school,71909,unemployed,small_city,0
male,non_single,39,high_school,68264,unemployed,small_city,0
female,non_single,42,university,163025,skilled,mid_size_city,2
male,single,34,high_school,119307,skilled,mid_size_city,1
male,single,63,university,175882,skilled,small_city,2
male,non_single,36,high_school,159646,skilled,mid_size_city,1
male,single,27,unknown,120131,skilled,mid_size_city,1
male,single,30,unknown,162745,skilled,big_city,1
male,single,57,university,87605,unemployed,small_city,2
female,non_single,33,high_school,155569,management,mid_size_city,1
male,single,25,unknown,104505,unemployed,small_city,0
male,single,31,unknown,143385,skilled,big_city,1
male,single,37,high_school,127676,skilled,mid_size_city,1
male,single,37,high_school,119276,skilled,mid_size_city,1
male,single,24,unknown,92542,skilled,mid_size_city,1
male,single,30,unknown,163329,management,mid_size_city,1
male,non_single,26,high_school,130921,skilled,small_city,0
male,single,44,high_school,133658,unemployed,small_city,0
male,non_single,24,high_school,155104,skilled,mid_size_city,1
female,non_single,58,university,142335,unemployed,mid_size_city,2
female,non_single,35,high_school,138387,management,mid_size_city,1
male,single,39,high_school,140182,skilled,small_city,1
female,non_single,23,high_school,65421,unemployed,small_city,0
male,single,39,high_school,130500,unemployed,small_city,0
female,non_single,28,high_school,122831,skilled,small_city,0
male,single,29,unknown,84531,unemployed,small_city,0
male,single,30,unknown,180196,management,big_city,3
male,single,25,unknown,92058,skilled,big_city,1
male,single,31,unknown,117158,skilled,small_city,0
male,single,57,university,135830,skilled,mid_size_city,2
male,single,26,unknown,58258,unemployed,small_city,0
male,single,52,high_school,202575,management,big_city,3
female,non_single,31,high_school,183657,skilled,mid_size_city,1
female,non_single,23,high_school,152267,management,mid_size_city,1
female,non_single,23,high_school,115240,unemployed,small_city,0
male,non_single,27,high_school,106955,skilled,big_city,1
male,single,50,high_school,123641,skilled,mid_size_city,1
male,single,61,university,166410,management,mid_size_city,2
male,single,25,unknown,227385,skilled,big_city,3
female,non_single,26,high_school,118372,skilled,mid_size_city,0
male,single,48,high_school,148115,skilled,mid_size_city,1
female,non_single,29,high_school,111069,skilled,small_city,0
male,non_single,22,high_school,139780,skilled,small_city,0
male,single,37,high_school,106978,skilled,big_city,1
female,non_single,25,high_school,110019,skilled,big_city,1
female,non_single,30,high_school,169102,skilled,mid_size_city,1
male,single,46,high_school,73703,unemployed,small_city,0
male,single,51,high_school,141858,management,big_city,1
female,non_single,41,university,135959,unemployed,small_city,2
male,single,40,high_school,140888,management,big_city,1
male,single,66,university,157299,management,big_city,2
male,single,34,high_school,125187,skilled,mid_size_city,1
male,single,51,high_school,155486,skilled,big_city,1
male,single,39,high_school,151697,unemployed,small_city,0
male,non_single,22,high_school,126400,skilled,mid_size_city,0
female,non_single,44,university,159246,skilled,big_city,2
male,single,47,high_school,136138,skilled,mid_size_city,1
female,non_single,24,high_school,84792,unemployed,small_city,0
female,non_single,58,university,100210,unemployed,small_city,2
male,single,52,high_school,93706,unemployed,small_city,0
female,non_single,29,high_school,133783,management,mid_size_city,1
female,non_single,27,high_school,110064,skilled,big_city,1
male,single,47,high_school,241068,skilled,mid_size_city,3
male,single,30,unknown,149022,management,big_city,1
male,single,28,unknown,92973,skilled,big_city,1
male,single,56,high_school,110605,skilled,mid_size_city,1
male,single,54,high_school,116604,skilled,mid_size_city,1
female,non_single,33,high_school,71070,unemployed,small_city,0
male,single,20,unknown,128678,skilled,mid_size_city,1
male,single,54,high_school,165230,skilled,big_city,1
male,single,58,university,268340,skilled,mid_size_city,3
female,non_single,61,university,135070,skilled,mid_size_city,2
male,single,34,high_school,134794,skilled,big_city,1
male,single,36,high_school,120153,skilled,mid_size_city,1
male,single,36,high_school,195465,management,big_city,3
male,non_single,41,high_school,93372,unemployed,small_city,0
male,single,24,unknown,110446,skilled,small_city,0
female,non_single,24,high_school,95186,skilled,mid_size_city,0
male,single,35,high_school,115343,skilled,mid_size_city,1
male,non_single,26,high_school,107276,skilled,mid_size_city,0
male,single,39,high_school,244716,management,big_city,3
male,single,39,high_school,183108,management,big_city,3
male,single,32,unknown,152876,skilled,big_city,1
female,non_single,30,high_school,165147,skilled,small_city,1
male,non_single,35,high_school,140520,skilled,small_city,0
male,non_single,31,high_school,124203,skilled,mid_size_city,1
female,non_single,23,high_school,107205,skilled,mid_size_city,0
male,single,28,unknown,121432,unemployed,big_city,1
female,non_single,25,high_school,162445,skilled,small_city,1
male,non_single,35,high_school,134112,skilled,mid_size_city,1
male,single,47,high_school,131842,skilled,mid_size_city,1
female,non_single,30,high_school,189896,management,small_city,1
female,non_single,27,high_school,109099,skilled,big_city,1
